,ts_code,trade_date,close
0,600036.SH,2019-12-31,37.58
1,600609.SH,2019-12-31,3.96
2,600887.SH,2019-12-31,30.94
3,601318.SH,2019-12-31,85.46
4,600036.SH,2019-12-30,37.83
5,600609.SH,2019-12-30,4.0
6,600887.SH,2019-12-30,30.83
7,601318.SH,2019-12-30,85.89
8,600036.SH,2019-12-27,37.86
9,600609.SH,2019-12-27,3.94
10,600887.SH,2019-12-27,30.64
11,601318.SH,2019-12-27,84.72
12,600036.SH,2019-12-26,38.1
13,600609.SH,2019-12-26,3.85
14,600887.SH,2019-12-26,30.12
15,601318.SH,2019-12-26,84.43
16,600036.SH,2019-12-25,37.79
17,600609.SH,2019-12-25,3.82
18,600887.SH,2019-12-25,29.98
19,601318.SH,2019-12-25,83.93
20,600036.SH,2019-12-24,38.01
21,600609.SH,2019-12-24,3.78
22,600887.SH,2019-12-24,30.24
23,601318.SH,2019-12-24,84.46
24,600036.SH,2019-12-23,37.4
25,600609.SH,2019-12-23,3.76
26,600887.SH,2019-12-23,29.85
27,601318.SH,2019-12-23,84.29
28,600036.SH,2019-12-20,37.54
29,600609.SH,2019-12-20,3.8
30,600887.SH,2019-12-20,30.01
31,601318.SH,2019-12-20,85.53
32,600036.SH,2019-12-19,37.77
33,600609.SH,2019-12-19,3.8
34,600887.SH,2019-12-19,29.95
35,601318.SH,2019-12-19,85.7
36,600036.SH,2019-12-18,37.99
37,600609.SH,2019-12-18,3.78
38,600887.SH,2019-12-18,30.45
39,601318.SH,2019-12-18,85.98
40,600036.SH,2019-12-17,37.5
41,600609.SH,2019-12-17,3.8
42,600887.SH,2019-12-17,30.79
43,601318.SH,2019-12-17,86.13
44,600036.SH,2019-12-16,37.28
45,600609.SH,2019-12-16,3.77
46,600887.SH,2019-12-16,30.44
47,601318.SH,2019-12-16,85.64
48,600036.SH,2019-12-13,37.5
49,600609.SH,2019-12-13,3.76
50,600887.SH,2019-12-13,30.65
51,601318.SH,2019-12-13,86.77
52,600036.SH,2019-12-12,36.4
53,600609.SH,2019-12-12,3.74
54,600887.SH,2019-12-12,30.27
55,601318.SH,2019-12-12,84.04
56,600036.SH,2019-12-11,36.4
57,600609.SH,2019-12-11,3.74
58,600887.SH,2019-12-11,30.22
59,601318.SH,2019-12-11,84.04
60,600036.SH,2019-12-10,36.12
61,600609.SH,2019-12-10,3.75
62,600887.SH,2019-12-10,30.6
63,601318.SH,2019-12-10,83.59
64,600036.SH,2019-12-09,36.27
65,600609.SH,2019-12-09,3.75
66,600887.SH,2019-12-09,30.85
67,601318.SH,2019-12-09,83.65
68,600036.SH,2019-12-06,36.41
69,600609.SH,2019-12-06,3.74
70,600887.SH,2019-12-06,30.25
71,601318.SH,2019-12-06,84.74
72,600036.SH,2019-12-05,36.38
73,600609.SH,2019-12-05,3.75
74,600887.SH,2019-12-05,30.22
75,601318.SH,2019-12-05,84.67
76,600036.SH,2019-12-04,36.28
77,600609.SH,2019-12-04,3.74
78,600887.SH,2019-12-04,30.47
79,601318.SH,2019-12-04,84.07
80,600036.SH,2019-12-03,36.46
81,600609.SH,2019-12-03,3.75
82,600887.SH,2019-12-03,30.38
83,601318.SH,2019-12-03,84.27
84,600036.SH,2019-12-02,36.11
85,600609.SH,2019-12-02,3.73
86,600887.SH,2019-12-02,29.67
87,601318.SH,2019-12-02,83.29
88,600036.SH,2019-11-29,36.03
89,600609.SH,2019-11-29,3.75
90,600887.SH,2019-11-29,29.09
91,601318.SH,2019-11-29,83.62
92,600036.SH,2019-11-28,36.63
93,600609.SH,2019-11-28,3.75
94,600887.SH,2019-11-28,29.4
95,601318.SH,2019-11-28,84.4
96,600036.SH,2019-11-27,36.65
97,600609.SH,2019-11-27,3.89
98,600887.SH,2019-11-27,29.48
99,601318.SH,2019-11-27,84.91
100,600036.SH,2019-11-26,36.0
101,600609.SH,2019-11-26,3.66
102,600887.SH,2019-11-26,29.35
103,601318.SH,2019-11-26,85.4
104,600036.SH,2019-11-25,36.58
105,600609.SH,2019-11-25,3.66
106,600887.SH,2019-11-25,29.14
107,601318.SH,2019-11-25,85.5
108,600036.SH,2019-11-22,36.23
109,600609.SH,2019-11-22,3.69
110,600887.SH,2019-11-22,29.01
111,601318.SH,2019-11-22,84.89
112,600036.SH,2019-11-21,36.44
113,600609.SH,2019-11-21,3.7
114,600887.SH,2019-11-21,29.15
115,601318.SH,2019-11-21,86.34
116,600036.SH,2019-11-20,36.58
117,600609.SH,2019-11-20,3.69
118,600887.SH,2019-11-20,29.41
119,601318.SH,2019-11-20,88.05
120,600036.SH,2019-11-19,37.52
121,600609.SH,2019-11-19,3.72
122,600887.SH,2019-11-19,29.81
123,601318.SH,2019-11-19,88.89
124,600036.SH,2019-11-18,37.5
125,600609.SH,2019-11-18,3.68
126,600887.SH,2019-11-18,29.0
127,601318.SH,2019-11-18,88.71
128,600036.SH,2019-11-15,36.83
129,600609.SH,2019-11-15,3.72
130,600887.SH,2019-11-15,28.95
131,601318.SH,2019-11-15,87.9
132,600036.SH,2019-11-14,36.74
133,600609.SH,2019-11-14,3.72
134,600887.SH,2019-11-14,29.1
135,601318.SH,2019-11-14,88.03
136,600036.SH,2019-11-13,37.0
137,600609.SH,2019-11-13,3.73
138,600887.SH,2019-11-13,29.2
139,601318.SH,2019-11-13,88.0
140,600036.SH,2019-11-12,37.2
141,600609.SH,2019-11-12,3.75
142,600887.SH,2019-11-12,29.19
143,601318.SH,2019-11-12,88.22
144,600036.SH,2019-11-11,37.31
145,600609.SH,2019-11-11,3.78
146,600887.SH,2019-11-11,29.0
147,601318.SH,2019-11-11,88.21
148,600036.SH,2019-11-08,37.75
149,600609.SH,2019-11-08,3.87
150,600887.SH,2019-11-08,29.47
151,601318.SH,2019-11-08,89.17
152,600036.SH,2019-11-07,38.16
153,600609.SH,2019-11-07,3.89
154,600887.SH,2019-11-07,29.65
155,601318.SH,2019-11-07,89.77
156,600036.SH,2019-11-06,38.15
157,600609.SH,2019-11-06,3.91
158,600887.SH,2019-11-06,29.47
159,601318.SH,2019-11-06,90.0
160,600036.SH,2019-11-05,37.66
161,600609.SH,2019-11-05,3.91
162,600887.SH,2019-11-05,29.87
163,601318.SH,2019-11-05,90.06
164,600036.SH,2019-11-04,37.18
165,600609.SH,2019-11-04,3.89
166,600887.SH,2019-11-04,29.45
167,601318.SH,2019-11-04,90.29
168,600036.SH,2019-11-01,36.6
169,600609.SH,2019-11-01,3.9
170,600887.SH,2019-11-01,29.44
171,601318.SH,2019-11-01,90.04
172,600036.SH,2019-10-31,35.5
173,600609.SH,2019-10-31,3.89
174,600887.SH,2019-10-31,29.0
175,601318.SH,2019-10-31,88.12
176,600036.SH,2019-10-30,35.41
177,600609.SH,2019-10-30,3.93
178,600887.SH,2019-10-30,27.12
179,601318.SH,2019-10-30,87.95
180,600036.SH,2019-10-29,36.15
181,600609.SH,2019-10-29,4.0
182,600887.SH,2019-10-29,28.01
183,601318.SH,2019-10-29,88.2
184,600036.SH,2019-10-28,36.2
185,600609.SH,2019-10-28,4.04
186,600887.SH,2019-10-28,27.61
187,601318.SH,2019-10-28,88.64
188,600036.SH,2019-10-25,36.4
189,600609.SH,2019-10-25,3.97
190,600887.SH,2019-10-25,27.37
191,601318.SH,2019-10-25,88.0
192,600036.SH,2019-10-24,36.5
193,600609.SH,2019-10-24,3.92
194,600887.SH,2019-10-24,27.15
195,601318.SH,2019-10-24,89.8
196,600036.SH,2019-10-23,36.0
197,600609.SH,2019-10-23,3.88
198,600887.SH,2019-10-23,27.67
199,601318.SH,2019-10-23,89.5
200,600036.SH,2019-10-22,36.13
201,600609.SH,2019-10-22,3.86
202,600887.SH,2019-10-22,27.97
203,601318.SH,2019-10-22,90.29
204,600036.SH,2019-10-21,36.22
205,600609.SH,2019-10-21,3.79
206,600887.SH,2019-10-21,27.89
207,601318.SH,2019-10-21,90.07
208,600036.SH,2019-10-18,36.18
209,600609.SH,2019-10-18,3.83
210,600887.SH,2019-10-18,28.01
211,601318.SH,2019-10-18,89.75
212,600036.SH,2019-10-17,37.0
213,600609.SH,2019-10-17,3.85
214,600887.SH,2019-10-17,28.18
215,601318.SH,2019-10-17,91.72
216,600036.SH,2019-10-16,36.81
217,600609.SH,2019-10-16,3.87
218,600887.SH,2019-10-16,28.28
219,601318.SH,2019-10-16,90.58
220,600036.SH,2019-10-15,36.64
221,600609.SH,2019-10-15,3.91
222,600887.SH,2019-10-15,28.61
223,601318.SH,2019-10-15,90.2
224,600036.SH,2019-10-14,36.83
225,600609.SH,2019-10-14,3.95
226,600887.SH,2019-10-14,28.53
227,601318.SH,2019-10-14,90.45
228,600036.SH,2019-10-11,36.29
229,600609.SH,2019-10-11,3.85
230,600887.SH,2019-10-11,28.3
231,601318.SH,2019-10-11,89.9
232,600036.SH,2019-10-10,35.11
233,600609.SH,2019-10-10,3.89
234,600887.SH,2019-10-10,28.47
235,601318.SH,2019-10-10,88.5
236,600036.SH,2019-10-09,35.18
237,600609.SH,2019-10-09,3.68
238,600887.SH,2019-10-09,28.2
239,601318.SH,2019-10-09,88.18
240,600036.SH,2019-10-08,34.81
241,600609.SH,2019-10-08,3.85
242,600887.SH,2019-10-08,28.54
243,601318.SH,2019-10-08,88.0
244,600036.SH,2019-09-30,34.75
245,600609.SH,2019-09-30,3.94
246,600887.SH,2019-09-30,28.52
247,601318.SH,2019-09-30,87.04
248,600036.SH,2019-09-27,35.2
249,600609.SH,2019-09-27,3.93
250,600887.SH,2019-09-27,28.29
251,601318.SH,2019-09-27,88.3
252,600036.SH,2019-09-26,35.22
253,600609.SH,2019-09-26,3.93
254,600887.SH,2019-09-26,28.05
255,601318.SH,2019-09-26,88.35
256,600036.SH,2019-09-25,34.35
257,600609.SH,2019-09-25,4.03
258,600887.SH,2019-09-25,27.84
259,601318.SH,2019-09-25,88.78
260,600036.SH,2019-09-24,34.08
261,600609.SH,2019-09-24,4.05
262,600887.SH,2019-09-24,28.3
263,601318.SH,2019-09-24,88.95
264,600036.SH,2019-09-23,34.04
265,600609.SH,2019-09-23,4.02
266,600887.SH,2019-09-23,28.39
267,601318.SH,2019-09-23,88.91
268,600036.SH,2019-09-20,34.51
269,600609.SH,2019-09-20,4.1
270,600887.SH,2019-09-20,28.89
271,601318.SH,2019-09-20,89.85
272,600036.SH,2019-09-19,34.51
273,600609.SH,2019-09-19,4.1
274,600887.SH,2019-09-19,28.79
275,601318.SH,2019-09-19,89.6
276,600036.SH,2019-09-18,34.8
277,600609.SH,2019-09-18,4.12
278,600887.SH,2019-09-18,29.0
279,601318.SH,2019-09-18,90.0
280,600036.SH,2019-09-17,34.79
281,600609.SH,2019-09-17,4.15
282,600887.SH,2019-09-17,28.92
283,601318.SH,2019-09-17,89.52
284,600036.SH,2019-09-16,35.0
285,600609.SH,2019-09-16,4.2
286,600887.SH,2019-09-16,29.32
287,601318.SH,2019-09-16,91.35
288,600036.SH,2019-09-12,35.29
289,600609.SH,2019-09-12,4.2
290,600887.SH,2019-09-12,29.75
291,601318.SH,2019-09-12,92.34
292,600036.SH,2019-09-11,35.05
293,600609.SH,2019-09-11,4.11
294,600887.SH,2019-09-11,29.73
295,601318.SH,2019-09-11,89.56
296,600036.SH,2019-09-10,35.0
297,600609.SH,2019-09-10,4.13
298,600887.SH,2019-09-10,30.06
299,601318.SH,2019-09-10,89.44
300,600036.SH,2019-09-09,35.5
301,600609.SH,2019-09-09,4.07
302,600887.SH,2019-09-09,29.69
303,601318.SH,2019-09-09,90.4
304,600036.SH,2019-09-06,35.89
305,600609.SH,2019-09-06,3.99
306,600887.SH,2019-09-06,29.13
307,601318.SH,2019-09-06,90.7
308,600036.SH,2019-09-05,35.52
309,600609.SH,2019-09-05,3.97
310,600887.SH,2019-09-05,29.02
311,601318.SH,2019-09-05,89.23
312,600036.SH,2019-09-04,34.89
313,600609.SH,2019-09-04,3.93
314,600887.SH,2019-09-04,28.53
315,601318.SH,2019-09-04,88.3
316,600036.SH,2019-09-03,34.15
317,600609.SH,2019-09-03,3.98
318,600887.SH,2019-09-03,28.41
319,601318.SH,2019-09-03,88.25
320,600036.SH,2019-09-02,34.34
321,600609.SH,2019-09-02,3.95
322,600887.SH,2019-09-02,28.58
323,601318.SH,2019-09-02,88.5
324,600036.SH,2019-08-30,34.28
325,600609.SH,2019-08-30,3.92
326,600887.SH,2019-08-30,28.65
327,601318.SH,2019-08-30,87.32
328,600036.SH,2019-08-29,33.93
329,600609.SH,2019-08-29,4.08
330,600887.SH,2019-08-29,29.1
331,601318.SH,2019-08-29,86.7
332,600036.SH,2019-08-28,34.5
333,600609.SH,2019-08-28,4.25
334,600887.SH,2019-08-28,29.48
335,601318.SH,2019-08-28,86.9
336,600036.SH,2019-08-27,34.75
337,600609.SH,2019-08-27,3.86
338,600887.SH,2019-08-27,28.65
339,601318.SH,2019-08-27,87.68
340,600036.SH,2019-08-26,35.0
341,600609.SH,2019-08-26,3.82
342,600887.SH,2019-08-26,28.17
343,601318.SH,2019-08-26,87.5
344,600036.SH,2019-08-23,36.27
345,600609.SH,2019-08-23,3.8
346,600887.SH,2019-08-23,28.6
347,601318.SH,2019-08-23,89.89
348,600036.SH,2019-08-22,35.34
349,600609.SH,2019-08-22,3.82
350,600887.SH,2019-08-22,28.29
351,601318.SH,2019-08-22,87.98
352,600036.SH,2019-08-21,35.45
353,600609.SH,2019-08-21,3.9
354,600887.SH,2019-08-21,28.18
355,601318.SH,2019-08-21,87.73
356,600036.SH,2019-08-20,35.33
357,600609.SH,2019-08-20,3.75
358,600887.SH,2019-08-20,28.97
359,601318.SH,2019-08-20,87.94
360,600036.SH,2019-08-19,35.3
361,600609.SH,2019-08-19,3.65
362,600887.SH,2019-08-19,29.2
363,601318.SH,2019-08-19,88.45
364,600036.SH,2019-08-16,35.16
365,600609.SH,2019-08-16,3.57
366,600887.SH,2019-08-16,28.7
367,601318.SH,2019-08-16,87.46
368,600036.SH,2019-08-15,34.87
369,600609.SH,2019-08-15,3.5
370,600887.SH,2019-08-15,28.14
371,601318.SH,2019-08-15,86.31
372,600036.SH,2019-08-14,34.86
373,600609.SH,2019-08-14,3.51
374,600887.SH,2019-08-14,28.23
375,601318.SH,2019-08-14,85.04
376,600036.SH,2019-08-13,34.85
377,600609.SH,2019-08-13,3.49
378,600887.SH,2019-08-13,28.21
379,601318.SH,2019-08-13,85.01
380,600036.SH,2019-08-12,35.41
381,600609.SH,2019-08-12,3.55
382,600887.SH,2019-08-12,28.14
383,601318.SH,2019-08-12,86.5
384,600036.SH,2019-08-09,34.99
385,600609.SH,2019-08-09,3.52
386,600887.SH,2019-08-09,27.4
387,601318.SH,2019-08-09,84.35
388,600036.SH,2019-08-08,35.36
389,600609.SH,2019-08-08,3.57
390,600887.SH,2019-08-08,28.06
391,601318.SH,2019-08-08,84.51
392,600036.SH,2019-08-07,34.53
393,600609.SH,2019-08-07,3.54
394,600887.SH,2019-08-07,28.16
395,601318.SH,2019-08-07,83.47
396,600036.SH,2019-08-06,34.88
397,600609.SH,2019-08-06,3.52
398,600887.SH,2019-08-06,28.1
399,601318.SH,2019-08-06,84.51
400,600036.SH,2019-08-05,35.21
401,600609.SH,2019-08-05,3.66
402,600887.SH,2019-08-05,30.81
403,601318.SH,2019-08-05,84.61
404,600036.SH,2019-08-02,35.75
405,600609.SH,2019-08-02,3.7
406,600887.SH,2019-08-02,31.14
407,601318.SH,2019-08-02,86.03
408,600036.SH,2019-08-01,36.2
409,600609.SH,2019-08-01,3.79
410,600887.SH,2019-08-01,31.32
411,601318.SH,2019-08-01,87.51
412,600036.SH,2019-07-31,36.56
413,600609.SH,2019-07-31,3.82
414,600887.SH,2019-07-31,31.2
415,601318.SH,2019-07-31,88.09
416,600036.SH,2019-07-30,36.77
417,600609.SH,2019-07-30,3.9
418,600887.SH,2019-07-30,31.95
419,601318.SH,2019-07-30,89.98
420,600036.SH,2019-07-29,36.83
421,600609.SH,2019-07-29,3.89
422,600887.SH,2019-07-29,32.24
423,601318.SH,2019-07-29,89.45
424,600036.SH,2019-07-26,37.22
425,600609.SH,2019-07-26,3.9
426,600887.SH,2019-07-26,32.34
427,601318.SH,2019-07-26,90.1
428,600036.SH,2019-07-25,37.26
429,600609.SH,2019-07-25,3.86
430,600887.SH,2019-07-25,32.4
431,601318.SH,2019-07-25,89.41
432,600036.SH,2019-07-24,36.43
433,600609.SH,2019-07-24,3.93
434,600887.SH,2019-07-24,32.42
435,601318.SH,2019-07-24,88.85
436,600036.SH,2019-07-23,36.21
437,600609.SH,2019-07-23,3.89
438,600887.SH,2019-07-23,32.1
439,601318.SH,2019-07-23,87.5
440,600036.SH,2019-07-22,36.37
441,600609.SH,2019-07-22,3.84
442,600887.SH,2019-07-22,32.26
443,601318.SH,2019-07-22,87.68
444,600036.SH,2019-07-19,36.37
445,600609.SH,2019-07-19,3.96
446,600887.SH,2019-07-19,32.25
447,601318.SH,2019-07-19,88.35
448,600036.SH,2019-07-18,35.32
449,600609.SH,2019-07-18,3.99
450,600887.SH,2019-07-18,32.11
451,601318.SH,2019-07-18,86.73
452,600036.SH,2019-07-17,35.21
453,600609.SH,2019-07-17,3.99
454,600887.SH,2019-07-17,32.48
455,601318.SH,2019-07-17,86.99
456,600036.SH,2019-07-16,35.31
457,600609.SH,2019-07-16,3.95
458,600887.SH,2019-07-16,32.69
459,601318.SH,2019-07-16,86.95
460,600036.SH,2019-07-15,35.3
461,600609.SH,2019-07-15,3.94
462,600887.SH,2019-07-15,33.72
463,601318.SH,2019-07-15,88.08
464,600036.SH,2019-07-12,35.4
465,600609.SH,2019-07-12,3.91
466,600887.SH,2019-07-12,33.83
467,601318.SH,2019-07-12,88.75
468,600036.SH,2019-07-11,35.9
469,600609.SH,2019-07-11,3.95
470,600887.SH,2019-07-11,33.88
471,601318.SH,2019-07-11,87.98
472,600036.SH,2019-07-10,35.12
473,600609.SH,2019-07-10,3.94
474,600887.SH,2019-07-10,33.16
475,601318.SH,2019-07-10,87.88
476,600036.SH,2019-07-09,35.29
477,600609.SH,2019-07-09,3.93
478,600887.SH,2019-07-09,33.27
479,601318.SH,2019-07-09,87.53
480,600036.SH,2019-07-08,35.56
481,600609.SH,2019-07-08,3.89
482,600887.SH,2019-07-08,32.98
483,601318.SH,2019-07-08,88.59
484,600036.SH,2019-07-05,36.47
485,600609.SH,2019-07-05,4.03
486,600887.SH,2019-07-05,33.47
487,601318.SH,2019-07-05,90.85
488,600036.SH,2019-07-04,36.08
489,600609.SH,2019-07-04,4.0
490,600887.SH,2019-07-04,33.41
491,601318.SH,2019-07-04,89.9
492,600036.SH,2019-07-03,36.15
493,600609.SH,2019-07-03,4.1
494,600887.SH,2019-07-03,33.55
495,601318.SH,2019-07-03,90.66
496,600036.SH,2019-07-02,36.52
497,600609.SH,2019-07-02,4.22
498,600887.SH,2019-07-02,34.47
499,601318.SH,2019-07-02,91.06
500,600036.SH,2019-07-01,36.9
501,600609.SH,2019-07-01,4.22
502,600887.SH,2019-07-01,34.26
503,601318.SH,2019-07-01,91.84
504,600036.SH,2019-06-28,35.98
505,600609.SH,2019-06-28,4.14
506,600887.SH,2019-06-28,33.41
507,601318.SH,2019-06-28,88.61
508,600036.SH,2019-06-27,36.45
509,600609.SH,2019-06-27,4.2
510,600887.SH,2019-06-27,33.11
511,601318.SH,2019-06-27,88.05
512,600036.SH,2019-06-26,35.47
513,600609.SH,2019-06-26,4.2
514,600887.SH,2019-06-26,32.83
515,601318.SH,2019-06-26,86.4
516,600036.SH,2019-06-25,36.13
517,600609.SH,2019-06-25,4.3
518,600887.SH,2019-06-25,32.44
519,601318.SH,2019-06-25,86.63
520,600036.SH,2019-06-24,37.96
521,600609.SH,2019-06-24,4.35
522,600887.SH,2019-06-24,32.33
523,601318.SH,2019-06-24,88.21
524,600036.SH,2019-06-21,37.69
525,600609.SH,2019-06-21,4.4
526,600887.SH,2019-06-21,32.32
527,601318.SH,2019-06-21,87.97
528,600036.SH,2019-06-20,38.38
529,600609.SH,2019-06-20,4.54
530,600887.SH,2019-06-20,32.62
531,601318.SH,2019-06-20,88.5
532,600036.SH,2019-06-19,36.8
533,600609.SH,2019-06-19,4.95
534,600887.SH,2019-06-19,31.75
535,601318.SH,2019-06-19,83.54
536,600036.SH,2019-06-18,36.02
537,600609.SH,2019-06-18,4.5
538,600887.SH,2019-06-18,31.52
539,601318.SH,2019-06-18,80.97
540,600036.SH,2019-06-17,35.6
541,600609.SH,2019-06-17,4.09
542,600887.SH,2019-06-17,31.51
543,601318.SH,2019-06-17,79.92
544,600036.SH,2019-06-14,35.35
545,600609.SH,2019-06-14,3.72
546,600887.SH,2019-06-14,31.78
547,601318.SH,2019-06-14,79.75
548,600036.SH,2019-06-13,35.25
549,600609.SH,2019-06-13,3.8
550,600887.SH,2019-06-13,31.56
551,601318.SH,2019-06-13,80.49
552,600036.SH,2019-06-12,35.33
553,600609.SH,2019-06-12,3.79
554,600887.SH,2019-06-12,31.75
555,601318.SH,2019-06-12,80.52
556,600036.SH,2019-06-11,35.42
557,600609.SH,2019-06-11,3.82
558,600887.SH,2019-06-11,32.43
559,601318.SH,2019-06-11,81.7
560,600036.SH,2019-06-10,34.74
561,600609.SH,2019-06-10,3.7
562,600887.SH,2019-06-10,30.68
563,601318.SH,2019-06-10,79.1
564,600036.SH,2019-06-06,33.9
